ID,GITHUB_ID,GITHUB_URL,USEFULL,COMMENT,PREFERED,GITHUB_OWNER_NAME,GITHUB_PROJECT_NAME,GITHUB_DESCRIPTION,GITHUB_LICENSE,GITHUB_IS_FORK,GITHUB_NR_STARGAZERS,GITHUB_NR_WATCHERS,GITHUB_NR_FORKS,GITHUB_NR_OPEN_ISSUES,GITHUB_REPO_CREATION_DATE,GITHUB_LANGUAGE,GIT_PULL_HASH,GIT_PULL_DATE,GIT_NR_COMMITS,GIT_NR_COMMITTERS,GIT_FIRST_COMMIT_DATE,GIT_LAST_COMMIT_DATE,PROCESSED,
731,25681056,https://github.com/ryanbinns/ttwatch,,,,ryanbinns,ttwatch,Linux TomTom GPS Watch Utilities,mit,0,148,148,49,13,2014-10-24,C,f4103bdeb612a216ac21747941b3df943d67c48c,2017-11-24,185,22,2014-10-24,2017-10-31,0,
211,26498279,https://github.com/Themaister/libfmsynth,,,,Themaister,libfmsynth,A C library which implements an FM synthesizer,mit,0,195,195,15,3,2014-11-11,C,9ffa1d2fea287f1209b210d2dbde2f0f60f37176,2017-11-24,24,3,2014-10-19,2015-02-07,0,
329,26743367,https://github.com/GUI/nginx-upstream-dynamic-servers,,,,GUI,nginx-upstream-dynamic-servers,An nginx module to resolve domain names inside upstreams and keep them up to date.,mit,0,184,184,30,12,2014-11-17,C,29e05c5de4d9e7042f66b99d22bef878fd761219,2017-11-24,32,4,2014-11-17,2016-04-12,0,
4,26794321,https://github.com/korginc/volcasample,,,,korginc,volcasample, volca sample SDK - a sample and sequence encoding library for volca sample.,bsd-3-clause,0,180,180,17,2,2014-11-18,C,b0ed615f18c230a18b378d9ddc6a936971597e4e,2017-11-23,22,7,2014-11-06,2014-12-10,0,
346,27050869,https://github.com/mtheall/ftpd,,,,mtheall,ftpd,FTP Server for 3DS,unlicense,0,183,183,37,8,2014-11-23,C,7b1176d374eb9bfa187e03f455304c526c675935,2017-11-24,115,11,2014-11-23,2017-11-02,0,
70,27051166,https://github.com/flightonary/Moscapsule,,,,flightonary,Moscapsule,MQTT Client for iOS written in Swift,mit,0,175,175,49,21,2014-11-23,C,b6e268e9254fe28a0f897471514192904133a860,2017-11-23,94,15,2014-11-23,2017-10-12,0,
770,27162920,https://github.com/ToadKing/wii-u-gc-adapter,,,,ToadKing,wii-u-gc-adapter,Tool for using the Wii U GameCube Adapter on Linux,mit,0,146,146,21,16,2014-11-26,C,1030fee12a7ed87058a6f5b282934e1074cd8934,2017-11-24,27,5,2014-11-26,2016-02-04,0,
421,27241034,https://github.com/ggreer/dsniff,,,,ggreer,dsniff, Dug Song seems to have abandoned dsniff. I got it to work with the latest OS X & Homebrew libraries.,bsd-3-clause,0,167,167,36,4,2014-11-27,C,2598e49ab1272873e4ea71d9b3163ef7edcc40ea,2017-11-24,34,2,2014-11-27,2014-11-29,0,
673,27349944,https://github.com/256dpi/arduino-mqtt,,,,256dpi,arduino-mqtt,MQTT library for Arduino,mit,0,150,150,58,5,2014-11-30,C,70859ff44375fec36feb3ebffb4ae7fd4225cc5e,2017-11-24,408,7,2014-12-01,2017-11-14,0,
6,27504249,https://github.com/phonegap/phonegap-plugin-contentsync,,,,phonegap,phonegap-plugin-contentsync,Download and cache remotely hosted content,apache-2.0,0,180,180,83,41,2014-12-03,C,9e636fe4407bf1c7eaed269a3b0b7a54a52f7efb,2017-11-23,378,31,2014-12-03,2017-11-10,0,
